Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/sarthakshukla/Desktop/MorphTest/GallWasps_Morph.nex.run1.t
Data File Name:                  /Users/sarthakshukla/Desktop/MorphTest/gallwasps_charmatrix.txt
Log File Name:                   1000TreesDependentTest.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2033153405
Analsis Type:                    Maximum Likelihood
ML Attempt Per Tree:             10
ML Max Evaluations:              20000
ML Tolerance:                    0.000001
ML Algorithm:                    BOBYQA
Rate Range:                      0.000000 - 100.000000
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1001
     Taxa:                       41
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
186	-36.527165	99.999990	87.500009	24.940961	49.876967	0.250000	0.250000	0.250000	0.250000	
187	-36.527289	100.000000	87.500010	50.000055	100.000000	0.250000	0.250000	0.250000	0.250000	
188	-36.520271	90.080104	78.820096	11.589967	23.076651	0.250000	0.250000	0.250000	0.250000	
189	-36.525804	36.063366	31.527928	49.743862	99.487562	0.250000	0.250000	0.250000	0.250000	
190	-36.527349	100.000000	87.500308	50.001550	100.000000	0.250000	0.250000	0.250000	0.250000	
191	-36.527349	100.000000	87.500340	50.001531	100.000000	0.250000	0.250000	0.250000	0.250000	
192	-36.527288	99.999071	87.499196	49.998466	99.996938	0.250000	0.250000	0.250000	0.250000	
193	-36.527289	100.000000	87.499974	50.000041	100.000000	0.250000	0.250000	0.250000	0.250000	
194	-36.527322	100.000000	87.500182	50.000958	100.000000	0.250000	0.250000	0.250000	0.250000	
195	-36.527128	46.923673	41.052122	34.947787	69.893701	0.250000	0.250000	0.250000	0.250000	
196	-36.526343	27.159124	23.744666	49.999999	100.000000	0.250000	0.250000	0.250000	0.250000	
197	-36.520124	25.356102	22.110711	29.050373	58.095329	0.250000	0.250000	0.250000	0.250000	
198	-36.527288	100.000000	87.500009	50.000035	100.000000	0.250000	0.250000	0.250000	0.250000	
199	-36.527288	99.999991	87.500005	50.000014	100.000000	0.250000	0.250000	0.250000	0.250000	
200	-36.452487	100.000000	87.503073	9.158436	17.863048	0.250000	0.250000	0.250000	0.250000	
201	-36.527289	99.999940	87.499936	50.000054	100.000000	0.250000	0.250000	0.250000	0.250000	
202	-36.524368	25.781560	22.575807	50.000094	100.000000	0.250000	0.250000	0.250000	0.250000	
203	-36.528547	100.000000	87.508931	50.020489	100.000000	0.250000	0.250000	0.250000	0.250000	
204	-36.527305	99.999996	87.499994	50.000607	100.000000	0.250000	0.250000	0.250000	0.250000	
205	-36.478281	100.000000	87.512323	13.020621	25.658409	0.250000	0.250000	0.250000	0.250000	
206	-36.527290	100.000000	87.499994	50.000097	100.000000	0.250000	0.250000	0.250000	0.250000	
207	-36.527286	100.000000	87.500010	39.469373	78.938444	0.250000	0.250000	0.250000	0.250000	
208	-36.452206	14.770074	12.766182	14.036790	27.980883	0.250000	0.250000	0.250000	0.250000	
